#plot-number-year,,,,#reformated,"#unsure, counts","#unsure, counts",,,#,,,,
nest_id,year,species,date,yyyymmdd,eggs,young,dead_young,stage,adult_status,young_status,min_yng,max_yng,notes
P6 N1 24,2024,Bobolink,2024-06-06T10:34:47,,6,0,0,,aa,no,,,Gillian- female on nest 
P6 N1 24,2024,Bobolink,2024-06-07T00:00,,2,3,0,,no,hy,,,look like they are just hatching. very tall clover bluegrass and smooth brome
P6 N1 24,2024,Bobolink,2024-06-10T00:00,,0,5,0,,aa,ny,,,flushed female - young eyes closed with a little fluff on them. 
P6 N1 24,2024,Bobolink,2024-06-12T00:00,,0,5,0,,va,py,,,"Jane, early evening, feathers on babies appear bluish—are they bobolinks? can’t see whether there is still an egg underneath"
P6 N1 24,2024,Bobolink,2024-06-13T00:00,,,,,,,,,,
P6 N1 24,2024,Bobolink,2024-06-17T00:00,,1,0,0,,no,no,,,"no young left likely fledged, one egg remained. "
P7 N1 24,2024,Bobolink,2024-06-06T12:33:54,,5,0,0,,aa,no,,,female returned to nest. patch of smooth brome
P7 N1 24,2024,Bobolink,2024-06-07T00:00,,5,0,0,,no,no,,,only 1 post
P7 N1 24,2024,Bobolink,2024-06-10T00:00,,4,1,0,,aa,ny,,,female flushed. one very small young just hatched. naked eyes closed 
P7 N1 24,2024,Bobolink,2024-06-11T00:00,,0,5,0,,va,ny,,,"sunny afternoon, adults not especially vigilant, Jane checked and adjusted posts a bit for better ease finding the nest next time"
P7 N1 24,2024,Bobolink,2024-06-13T00:00,,0,5,0,,aa,ny,,,"Kate. Sunny, warm. Mother flushed when appoached but returned soon after. Stayed in the vicinity."
P7 N1 24,2024,Bobolink,2024-06-17T00:00,,0,4,0,,va,py,,,"4 partially feathered babies, eyes open. Not sure what happened to the fifth baby. "
P7 N1 24,2024,Bobolink,2024-06-19T00:00,,0,4,0,,va,fy,,,"4 young, 1 jumped out of nest during visit prior to the nest photo. got photo of the 1 out of the nest too"
P7 N1 24,2024,Bobolink,2024-06-21T00:00,,0,0,0,,no,no,,,"empty nest, assuming they fledged "
P8 N1 24,2024,Bobolink,2024-06-12T00:00,,2,3,0,,va,ny,,,"42.646906, -70.857748"
P8 N1 24,2024,Bobolink,2024-06-17T00:00,,,3,0,,va,py,,,Gillian- three babies with eyes open and pin feathers 
P8 N1 24,2024,Bobolink,2024-06-19T00:00,,,3,0,,va,fy,,,1 hopped out while we were checking
P8 N1 24,2024,Bobolink,2024-06-21T15:53:54,,2,0,0,,va,no,,,"two eggs, no babies "
P8 N1 24,2024,Bobolink,2024-06-24T12:03:30,,2,,,,fa,,,,jane
P8 N1 24,2024,Bobolink,2024-07-02T16:19:16,,2,,,,no,no,,,"no bobolink activity in plot 8, all red posts removed and nest locations recorded"
plains N1 24,2024,Bobolink,2024-06-11T00:00,,4,0,0,,aa,no,,,Tom observed female return to this area multiple times (after we flushed her and males from other places). found nest by thorough search 
plains N1 24,2024,Bobolink,2024-06-13T16:09:19,,5,0,0,,va,no,,,"Jane, Thursday 4:10pm"
plains N1 24,2024,Bobolink,2024-06-15T00:00,,,,,,,,,,couldn’t find nest between stakes. TAP
plains N1 24,2024,Bobolink,2024-06-17T00:00,,0,0,0,,no,no,,,"No eggs or young, no signs of damage"
Playground N1 24,2024,Bobolink,2024-06-11T00:00,,4,0,0,,va,,,,"observed female spending a lot of time in the vicinity. then when we went to mark the general location, we flushed her directly from the location and found the nest"
Playground N1 24,2024,Bobolink,2024-06-15T00:00,,4,0,0,,va,no,,,female near nest. male on top of stake when I arrived 
Playground N1 24,2024,Bobolink,2024-06-21T16:10:12,,0,4,0,,va,py,,,pibfeathers on wings closed. eyes mostly closed. 
